date,cust_email,cust_location,product_id,product_quantity
2020-01-01,sloig@live.com,85166,GU145HXLIC8X,1
2020-01-01,faont@live.com,27561,48RMTKKG4FBS,1
2020-01-01,clu@hotmail.com,87266,2NFGWLH1P9K8,1
2020-01-01,clu@hotmail.com,87266,XDYAL6NYUAVC,3
2020-01-01,clu@hotmail.com,87266,XK0IWURO7ESL,1
2020-01-01,flo@gmail.com,87807,IMRRYHROSQFV,2
2020-01-01,yoa@gmail.com,58305,R51U4RGBK20B,1
2020-01-01,glysp@gmail.com,51559,VC5L0EEQUNZD,1
2020-01-01,glysp@gmail.com,51559,IR2U5CTPSM50,1
2020-01-01,glysp@gmail.com,51559,YKNJHUZIU49A,1
2020-01-01,fra@yahoo.com,79861,JGTVRCCHGPLD,1
2020-01-01,fra@yahoo.com,79861,CKYT7F3S1SIP,1
2020-01-01,fra@yahoo.com,79861,JM9FYSYW3BSG,1
2020-01-01,fra@yahoo.com,79861,LPXPV39S2DGK,4
2020-01-01,fra@yahoo.com,79861,PKGBQDYIA7DO,1
2020-01-01,griay@gmail.com,07788,8Z7I40UJIAQP,1
2020-01-01,buo@inbox.com,40628,01JVKWBJR06Q,2
2020-01-01,buo@inbox.com,40628,QCL91UT52QHV,3
2020-01-01,buo@inbox.com,40628,TDF3EY89B5CR,3
2020-01-01,snesp@hotmail.com,13222,FQ0UJ3Z99JI3,1
2020-01-01,snesp@hotmail.com,13222,MS12738H8H4J,2
2020-01-01,stuo@gmail.com,18877,1LQT9CG1QZ80,3
2020-01-01,waoft@live.com,46820,CWF99883LFIO,3
2020-01-01,fu@hotmail.com,17457,3QJ33NGVMMWR,1
2020-01-01,bluak@live.com,86221,TZZ9MQAI1FVN,1
2020-01-01,bluak@live.com,86221,ZAIQ94W4HT8P,2
2020-01-01,woe@gmail.com,78259,M9DPXGRXSLMA,1
2020-01-01,woe@gmail.com,78259,7SRFLMZSH16F,2
2020-01-01,woe@gmail.com,78259,3W3OFGHE73EW,1
2020-01-01,jee@gmail.com,37585,TD9ZK8T46GDM,2
2020-01-01,jee@gmail.com,37585,CRWEH6S9G3OX,1
2020-01-01,jee@gmail.com,37585,6O9NQKQ4KVIW,1
2020-01-01,jee@gmail.com,37585,TZF8ZATIX9G1,2
2020-01-01,skio@hotmail.com,81683,SKIDZV9MUMUD,2
2020-01-01,skio@hotmail.com,81683,RS2DQFC0PLHQ,1
2020-01-01,brau@inbox.com,74804,OYVIHSKH1D42,2
2020-01-01,sma@mail.com,14077,WK3HCS6OJQ6C,1
2020-01-01,sma@mail.com,14077,5EWUZFH8UOK6,1
2020-01-01,fiupt@gmail.com,37585,SOO13SLJNYPS,1
2020-01-01,fiupt@gmail.com,37585,Z0QWMSWRSENG,1
2020-01-01,staoss@gmail.com,01046,GHY7TWRRRIDH,6
2020-01-01,staoss@gmail.com,01046,CS0NDO0AENC7,1
2020-01-01,bia@gmail.com,97944,JVOC55M9Q0CJ,1
2020-01-02,sa@outlook.com,30478,L1Q0L7GPWCXB,2
2020-01-02,sa@outlook.com,30478,MGO00A57HPPB,3
2020-01-02,waef@yahoo.com,86343,W93PNQWGZGEB,1
2020-01-02,waef@yahoo.com,86343,VXB3G8XDG419,1
2020-01-02,waef@yahoo.com,86343,7UI851YMJ8AH,4
2020-01-02,juact@gmail.com,63862,RPLNR5TRYRJD,1
2020-01-02,juact@gmail.com,63862,LHCZM0S78II3,2
2020-01-02,juact@gmail.com,63862,J357R8YNI42M,1
2020-01-02,juact@gmail.com,63862,3I6HST675314,1
2020-01-02,woe@icloud.com,65252,5R8A3M6PQY0E,4
2020-01-02,clyst@gmail.com,82290,WC0IPKZFTLX5,3
2020-01-02,poo@mail.com,35354,58XH9WND3QCI,4
2020-01-02,chia@inbox.com,69694,ADZXB44QH0MO,3
2020-01-02,leo@yahoo.com,58448,9SW3U0KJSJPG,1
2020-01-02,leo@yahoo.com,58448,8XFEMWWVPSKS,1
2020-01-02,leo@yahoo.com,58448,NU8N2G005VYV,4
2020-01-02,juss@hotmail.com,13222,0WZZ2OJVQM8J,2
2020-01-02,guemp@hotmail.com,36310,I069TC591LY4,2
2020-01-03,myg@yahoo.com,26648,K3GUVDDY88BZ,1
2020-01-03,yui@aol.com,31328,T08HY8ZSCGI8,1
2020-01-03,yui@aol.com,31328,Z7LOKQ7ZOL2S,2
2020-01-03,yui@aol.com,31328,OGVP0PAXT3DK,1
2020-01-03,yui@aol.com,31328,5AIYYDNT65EK,2
2020-01-03,plen@gmail.com,28802,4J2CSD9DRTDR,1
2020-01-03,plen@gmail.com,28802,3HLVTO6YEOHV,1
2020-01-03,cryct@aol.com,10432,4Q3HP9N1URAH,1
2020-01-03,cryct@aol.com,10432,DFE4GK0EYP2A,1
2020-01-03,cryct@aol.com,10432,KJDQR253PR4Q,2
2020-01-03,stesh@yahoo.com,19450,VMQKBS680GJ3,2
2020-01-03,stesh@yahoo.com,19450,TO45HI4BUCMZ,1
2020-01-03,vu@live.com,61592,ZCODS6BDVTZD,1
2020-01-03,noct@live.com,73602,SG70AIC74MYO,1
2020-01-03,reo@msn.com,04725,1BNF8EIJV67U,3
2020-01-03,gruo@live.com,84089,WFTNAE0XOE08,4
2020-01-03,snah@outlook.com,87875,DZYVY9GVGO3A,3
2020-01-03,snah@outlook.com,87875,SMRTNE8BO1EN,1
2020-01-03,veu@gmail.com,24027,87QYW56NWH0Z,2
2020-01-03,veu@gmail.com,24027,JEHWR0GL1MP9,2
2020-01-03,veu@gmail.com,24027,7D1BXN5LKFM9,2
2020-01-03,veu@gmail.com,24027,AD9A2WCZOWSV,3
2020-01-03,bov@hotmail.com,99411,Q0S5HRD3W20Y,1
2020-01-03,bov@hotmail.com,99411,BGZ80BJO93WM,1
2020-01-03,kuf@gmail.com,94561,PKLS9P963OKF,1
2020-01-03,shipt@gmail.com,07770,15FS7B76F1A6,1
2020-01-03,shipt@gmail.com,07770,41B9Q54FX2I9,2
2020-01-03,shipt@gmail.com,07770,IPJQFPOSWQ7M,1
2020-01-03,shipt@gmail.com,07770,X0CQRNS9XWT3,1
2020-01-03,wei@outlook.com,17737,SS621D5WBSX3,3
2020-01-03,sang@outlook.com,57046,PQ7YK9HI497S,1
2020-01-03,sang@outlook.com,57046,49RM9KNZPKHN,1
2020-01-03,sang@outlook.com,57046,ASSZS6RZKZHT,3
2020-01-04,spond@gmail.com,19659,T6CFZ2KI3J8L,1
2020-01-04,doa@hotmail.com,67285,8L61F8QFRKR6,3
2020-01-04,doa@hotmail.com,67285,NHA80W2UNKV0,1
2020-01-04,slei@yahoo.com,89567,Q5GP0GE2TDQW,1
2020-01-04,slei@yahoo.com,89567,HITL0X6RWOLA,4
2020-01-04,slei@yahoo.com,89567,L212BJO9E4T1,2
2020-01-04,slei@yahoo.com,89567,9CL9WODO1EVY,1
2020-01-04,slei@yahoo.com,89567,N0MBCJNQIGKR,1
2020-01-04,snoh@hotmail.com,11278,MGSPADNK0FX2,2
2020-01-04,snoh@hotmail.com,11278,SPMO7RVUQAK2,1
2020-01-04,snoh@hotmail.com,11278,BHDVH81X0T22,1
2020-01-04,ky@aol.com,27572,OOOBF1L75TBX,1
2020-01-04,ky@aol.com,27572,VUEMNGCTFGZ0,1
2020-01-04,ky@aol.com,27572,Y850SU73PUZU,2
2020-01-04,tept@gmail.com,69555,I7DYGPG9VO6D,2
2020-01-04,zio@icloud.com,21407,AX7GEG9LCD63,2
2020-01-04,brei@live.com,74804,TIQFRZASK8QM,1
2020-01-04,brei@live.com,74804,I1HQSWGKKWAI,2
2020-01-04,brei@live.com,74804,BMHSEWL2V3CZ,1
2020-01-04,friak@yahoo.com,14713,C6GLQGLIKQKM,1
2020-01-04,friak@yahoo.com,14713,U02Q8V1ZXEQE,2
2020-01-04,plug@live.com,05102,V7M1W3BMSFUN,1
2020-01-04,snam@yahoo.com,72659,EYHO0TYJTGLF,2
2020-01-04,snam@yahoo.com,72659,79DDHH4IVUJW,1
